Topic,Word
LDA 1,like
LDA 1,just
LDA 1,know
LDA 1,yeah
LDA 1,think
LDA 1,don
LDA 1,going
LDA 1,people
LDA 1,time
LDA 1,really
LDA 2,think
LDA 2,like
LDA 2,just
LDA 2,really
LDA 2,right
LDA 2,kind
LDA 2,things
LDA 2,people
LDA 2,learning
LDA 2,know
LDA 3,like
LDA 3,know
LDA 3,just
LDA 3,think
LDA 3,people
LDA 3,yeah
LDA 3,right
LDA 3,don
LDA 3,really
LDA 3,kind
LDA 4,people
LDA 4,think
LDA 4,know
LDA 4,just
LDA 4,don
LDA 4,right
LDA 4,world
LDA 4,like
LDA 4,say
LDA 4,way
LDA 5,know
LDA 5,think
LDA 5,like
LDA 5,just
LDA 5,things
LDA 5,kind
LDA 5,don
LDA 5,say
LDA 5,way
LDA 5,life
